,miRNA,G1,G1 Target Score,G2,G2 Target Score,Average
0,hsa-miR-30b-5p,PDGFRB,84,XPR1,96,90
1,hsa-miR-30c-5p,PDGFRB,84,XPR1,96,90
2,hsa-miR-30e-5p,PDGFRB,84,XPR1,96,90
3,hsa-miR-30d-5p,PDGFRB,84,XPR1,96,90
4,hsa-miR-30a-5p,PDGFRB,84,XPR1,96,90
5,hsa-miR-548k,PDGFRB,80,XPR1,59,69
6,hsa-miR-548av-5p,PDGFRB,80,XPR1,59,69
7,hsa-miR-8054,PDGFRB,80,XPR1,59,69
8,hsa-miR-12136,PDGFRB,64,XPR1,96,80
9,hsa-miR-637,PDGFRB,56,XPR1,66,61
10,hsa-miR-3165,PDGFRB,54,XPR1,56,55
11,hsa-miR-1207-3p,PDGFRB,50,XPR1,61,55
12,hsa-miR-4726-3p,PDGFRB,50,XPR1,51,50
