,miRNA,G1,G1 Target Score,G2,G2 Target Score,Average
0,hsa-miR-1252-5p,XPR1,99,PDGFB,76,87
1,hsa-miR-5692a,XPR1,97,PDGFB,78,87
2,hsa-miR-1289,XPR1,95,PDGFB,84,89
3,hsa-miR-6880-5p,XPR1,87,PDGFB,87,87
4,hsa-miR-3679-3p,XPR1,84,PDGFB,73,78
5,hsa-miR-12115,XPR1,83,PDGFB,53,68
6,hsa-miR-4261,XPR1,81,PDGFB,57,69
7,hsa-miR-4533,XPR1,73,PDGFB,57,65
8,hsa-miR-6832-5p,XPR1,63,PDGFB,54,58
9,hsa-miR-8071,XPR1,63,PDGFB,50,56
10,hsa-miR-4524a-3p,XPR1,60,PDGFB,62,61
11,hsa-miR-9500,XPR1,59,PDGFB,71,65
12,hsa-miR-6847-5p,XPR1,58,PDGFB,77,67
13,hsa-miR-4667-3p,XPR1,56,PDGFB,59,57
14,hsa-miR-664b-3p,XPR1,56,PDGFB,70,63
15,hsa-miR-579-3p,XPR1,56,PDGFB,70,63
16,hsa-miR-7854-3p,XPR1,53,PDGFB,56,54
17,hsa-miR-4294,XPR1,52,PDGFB,64,58
18,hsa-miR-450a-1-3p,XPR1,50,PDGFB,61,55
