,miRNA,G1,G1 Target Score,G2,G2 Target Score,Average
0,hsa-miR-6880-5p,PDGFB,87,XPR1,87,87
1,hsa-miR-1289,PDGFB,84,XPR1,95,89
2,hsa-miR-5692a,PDGFB,78,XPR1,97,87
3,hsa-miR-6847-5p,PDGFB,77,XPR1,58,67
4,hsa-miR-1252-5p,PDGFB,76,XPR1,99,87
5,hsa-miR-3679-3p,PDGFB,73,XPR1,84,78
6,hsa-miR-9500,PDGFB,71,XPR1,59,65
7,hsa-miR-579-3p,PDGFB,70,XPR1,56,63
8,hsa-miR-664b-3p,PDGFB,70,XPR1,56,63
9,hsa-miR-4294,PDGFB,64,XPR1,52,58
10,hsa-miR-4524a-3p,PDGFB,62,XPR1,60,61
11,hsa-miR-450a-1-3p,PDGFB,61,XPR1,50,55
12,hsa-miR-4667-3p,PDGFB,59,XPR1,56,57
13,hsa-miR-4261,PDGFB,57,XPR1,81,69
14,hsa-miR-4533,PDGFB,57,XPR1,73,65
15,hsa-miR-7854-3p,PDGFB,56,XPR1,53,54
16,hsa-miR-6832-5p,PDGFB,54,XPR1,63,58
17,hsa-miR-12115,PDGFB,53,XPR1,83,68
18,hsa-miR-8071,PDGFB,50,XPR1,63,56
