,miRNA,G1,G1 Target Score,G2,G2 Target Score,Average
0,hsa-miR-3184-5p,SLC20A2,93,PDGFRB,67,80
1,hsa-miR-423-5p,SLC20A2,93,PDGFRB,67,80
2,hsa-miR-9-5p,SLC20A2,90,PDGFRB,92,91
3,hsa-miR-889-3p,SLC20A2,88,PDGFRB,52,70
4,hsa-miR-12136,SLC20A2,80,PDGFRB,64,72
5,hsa-miR-4441,SLC20A2,80,PDGFRB,82,81
6,hsa-miR-6754-5p,SLC20A2,76,PDGFRB,67,71
7,hsa-miR-4270,SLC20A2,76,PDGFRB,67,71
8,hsa-miR-1263,SLC20A2,65,PDGFRB,90,77
9,hsa-miR-150-3p,SLC20A2,65,PDGFRB,76,70
10,hsa-miR-548n,SLC20A2,65,PDGFRB,75,70
11,hsa-miR-4672,SLC20A2,63,PDGFRB,73,68
12,hsa-miR-7157-5p,SLC20A2,58,PDGFRB,54,56
13,hsa-miR-4310,SLC20A2,57,PDGFRB,67,62
14,hsa-miR-2861,SLC20A2,51,PDGFRB,63,57
